i,x,y,z,r,theta
520,-47,42,0,63,318
521,162,-64,0,174,159
522,-82,-232,0,246,71
523,-58,-49,0,75,41
524,-119,2,0,119,359
525,-70,175,0,188,291
526,46,208,0,213,257
527,-76,-75,0,106,45
528,-9,79,0,79,276
529,57,8,0,57,187
530,106,-46,0,115,157
531,-219,57,0,226,345
532,34,-128,0,132,105
533,-211,-49,0,216,14
534,-68,61,0,91,318
535,-44,-192,0,196,78
536,65,43,0,77,213
537,-188,26,0,189,352
538,128,31,0,131,193
539,-3,36,0,36,274
540,20,-224,0,224,96
541,-150,-194,0,245,53
542,205,108,0,231,207
543,77,59,0,97,217
544,-8,181,0,181,272
545,43,-27,0,50,148
546,-47,93,0,104,296
547,72,-51,0,88,145
548,-25,245,0,246,275
549,-77,-206,0,219,70
550,-93,-35,0,99,21
551,116,180,0,214,237
552,7,-121,0,121,94
553,-35,77,0,84,294
554,-6,-40,0,40,82
555,-10,-30,0,31,72
556,-4,-209,0,209,89
557,71,-85,0,110,130
558,114,0,0,114,180
559,24,28,0,36,229
560,-198,-54,0,205,16
561,20,-223,0,223,96
562,-70,96,0,118,306
563,87,228,0,244,249
564,116,109,0,159,223
565,-225,7,0,225,358
566,49,-20,0,52,158
567,-181,-29,0,183,10
568,-44,-95,0,104,66
569,81,149,0,169,241
570,-56,72,0,91,307
571,91,-151,0,176,122
572,171,-96,0,196,151
573,152,-123,0,195,142
574,146,-39,0,151,166
575,-70,-57,0,90,40
576,-10,-90,0,90,84
577,-72,-100,0,123,55
578,29,12,0,31,202
579,153,2,0,153,180
580,109,-141,0,178,128
581,59,140,0,151,247
582,-47,147,0,154,287
583,102,224,0,246,245
584,106,151,0,184,234
585,64,-6,0,64,175
586,29,63,0,69,245
587,177,76,0,192,203
588,30,-39,0,49,128
589,119,-32,0,123,165
590,177,-23,0,178,173
591,-16,-215,0,215,86
592,-30,22,0,37,323
593,-25,214,0,215,276
594,-101,-117,0,154,50
595,132,-47,0,140,161
596,45,-12,0,46,166
597,-87,19,0,89,347
598,47,18,0,50,200
599,-23,191,0,192,276
600,206,7,0,206,181
601,-71,34,0,78,334
602,-102,87,0,134,319
603,157,120,0,197,217
604,-17,-113,0,114,82
605,42,-33,0,53,142
606,57,59,0,82,225
607,-44,-67,0,80,57
608,-17,106,0,107,279
609,3,38,0,38,265
610,47,-102,0,112,115
611,-89,-8,0,89,6
612,-95,-203,0,224,65
613,5,-32,0,32,99
614,181,6,0,181,181
615,-101,28,0,104,344
616,79,178,0,194,246
617,-103,205,0,229,296
618,-22,20,0,29,317
619,152,-89,0,176,150
620,60,-87,0,105,125
621,-185,41,0,189,347
622,208,-87,0,225,158
623,-110,-198,0,226,61
624,-63,-168,0,179,70
625,-151,111,0,187,323
626,91,-117,0,148,128
627,14,-76,0,77,101
628,-122,59,0,135,334
629,126,-106,0,164,140
630,-18,-69,0,71,76
631,-46,-44,0,63,44
632,-80,-82,0,114,46
633,-78,184,0,199,292
634,17,176,0,176,264
635,224,50,0,229,192
636,-43,38,0,57,318
637,110,-215,0,241,118
638,-212,-53,0,218,15
639,157,-15,0,157,175
640,76,84,0,113,227
641,3,-175,0,175,91
642,-43,38,0,57,318
643,-73,-51,0,89,35
644,4,147,0,147,268
645,-211,126,0,245,329
646,-53,-12,0,54,13
647,90,-228,0,245,112
648,69,-48,0,84,146
649,-89,63,0,109,324
650,21,63,0,66,251
651,-98,-71,0,121,36
652,43,-2,0,43,178
653,63,30,0,69,205
654,43,-36,0,56,141
655,-175,-20,0,176,7
656,116,-162,0,199,126
